date,change_per,close,high,index,low,name,open,ticket,volume
2019-01-22,-4.28,143000.0,149600.0,VN 30 (VNI30),143000.0,Cotec Construction JSC,149600.0,CTD,1439000.0
2019-01-21,1.01,149400.0,149800.0,VN 30 (VNI30),147900.0,Cotec Construction JSC,147900.0,CTD,359799.99999999994
2019-01-18,-0.2,147900.0,150200.0,VN 30 (VNI30),147000.0,Cotec Construction JSC,148200.0,CTD,371100.0
2019-01-17,-0.67,148200.0,150400.0,VN 30 (VNI30),148200.0,Cotec Construction JSC,149200.0,CTD,479000.0
2019-01-16,-3.43,149200.0,155700.0,VN 30 (VNI30),149200.0,Cotec Construction JSC,154200.0,CTD,961300.0
2019-01-15,-0.96,154500.0,156300.0,VN 30 (VNI30),154500.0,Cotec Construction JSC,156000.0,CTD,693700.0
2019-01-14,-1.58,156000.0,159500.0,VN 30 (VNI30),156000.0,Cotec Construction JSC,158500.0,CTD,371800.0
2019-01-11,-0.94,158500.0,161300.0,VN 30 (VNI30),158500.0,Cotec Construction JSC,160000.0,CTD,448200.0
2019-01-10,0.0,160000.0,162000.0,VN 30 (VNI30),158000.0,Cotec Construction JSC,160000.0,CTD,1213800.0
2019-01-09,0.06,160000.0,162000.0,VN 30 (VNI30),158000.0,Cotec Construction JSC,159800.0,CTD,1803200.0
2019-01-08,-0.06,159900.0,160200.0,VN 30 (VNI30),158200.0,Cotec Construction JSC,160200.0,CTD,280200.0
2019-01-07,0.31,160000.0,160000.0,VN 30 (VNI30),158400.0,Cotec Construction JSC,160000.0,CTD,1388600.0000000002
2019-01-04,0.0,159500.0,159500.0,VN 30 (VNI30),156000.0,Cotec Construction JSC,159500.0,CTD,846800.0000000001
2019-01-03,-0.31,159500.0,160000.0,VN 30 (VNI30),158000.0,Cotec Construction JSC,160000.0,CTD,2353300.0
2019-01-02,0.0,160000.0,160000.0,VN 30 (VNI30),158000.0,Cotec Construction JSC,159600.0,CTD,1417700.0
2018-12-28,-0.12,160000.0,161000.0,VN 30 (VNI30),158600.0,Cotec Construction JSC,160200.0,CTD,3987300.0
2018-12-27,1.39,160200.0,160600.0,VN 30 (VNI30),158000.0,Cotec Construction JSC,159000.0,CTD,5285500.0
2018-12-26,0.25,158000.0,158000.0,VN 30 (VNI30),156500.0,Cotec Construction JSC,157600.0,CTD,5990100.0
2018-12-25,-1.01,157600.0,158800.0,VN 30 (VNI30),156000.0,Cotec Construction JSC,158000.0,CTD,4218500.0
2018-12-24,0.44,159200.0,159600.0,VN 30 (VNI30),158500.0,Cotec Construction JSC,158500.0,CTD,6581600.0
2018-12-21,0.32,158500.0,158900.0,VN 30 (VNI30),157200.0,Cotec Construction JSC,157200.0,CTD,5751900.000000001
2018-12-20,0.32,158000.0,159000.0,VN 30 (VNI30),156500.0,Cotec Construction JSC,156500.0,CTD,2812799.9999999995
2018-12-19,-1.87,157500.0,161000.0,VN 30 (VNI30),157000.0,Cotec Construction JSC,160000.0,CTD,2424600.0
2018-12-18,0.25,160500.0,160800.0,VN 30 (VNI30),158100.0,Cotec Construction JSC,158100.0,CTD,4690100.0
2018-12-17,-0.87,160100.0,161500.0,VN 30 (VNI30),159800.0,Cotec Construction JSC,160000.0,CTD,2409200.0
2018-12-14,1.32,161500.0,162000.0,VN 30 (VNI30),159500.0,Cotec Construction JSC,160000.0,CTD,7112200.0
2018-12-13,1.66,159400.0,160000.0,VN 30 (VNI30),156800.0,Cotec Construction JSC,156800.0,CTD,4161000.0
2018-12-12,0.13,156800.0,158500.0,VN 30 (VNI30),156000.0,Cotec Construction JSC,156000.0,CTD,1436000.0
2018-12-11,1.03,156600.0,156900.0,VN 30 (VNI30),155000.0,Cotec Construction JSC,155000.0,CTD,566800.0
2018-12-10,-2.21,155000.0,158000.0,VN 30 (VNI30),155000.0,Cotec Construction JSC,157500.0,CTD,1301200.0
2018-12-07,0.96,158500.0,158900.0,VN 30 (VNI30),156000.0,Cotec Construction JSC,157000.0,CTD,1201900.0
2018-12-06,0.0,157000.0,157000.0,VN 30 (VNI30),155500.0,Cotec Construction JSC,155500.0,CTD,423500.0
2018-12-05,0.0,157000.0,157000.0,VN 30 (VNI30),155500.0,Cotec Construction JSC,155500.0,CTD,883300.0
2018-12-04,-1.26,157000.0,159500.0,VN 30 (VNI30),156900.0,Cotec Construction JSC,159000.0,CTD,707800.0
2018-12-03,2.25,159000.0,159000.0,VN 30 (VNI30),154700.0,Cotec Construction JSC,155500.0,CTD,1256800.0
2018-11-30,-0.96,155500.0,157000.0,VN 30 (VNI30),154100.0,Cotec Construction JSC,157000.0,CTD,207300.0
2018-11-29,-0.19,157000.0,158400.0,VN 30 (VNI30),156000.0,Cotec Construction JSC,158400.0,CTD,536100.0
2018-11-28,1.48,157300.0,158000.0,VN 30 (VNI30),155000.0,Cotec Construction JSC,155000.0,CTD,804200.0
2018-11-27,2.99,155000.0,156100.0,VN 30 (VNI30),154000.0,Cotec Construction JSC,154000.0,CTD,1902400.0
2018-11-26,-0.79,150500.0,151700.0,VN 30 (VNI30),147000.0,Cotec Construction JSC,147000.0,CTD,553400.0
2018-11-23,-1.17,151700.0,153100.0,VN 30 (VNI30),151500.0,Cotec Construction JSC,153100.0,CTD,223200.0
2018-11-22,0.0,153500.0,154800.0,VN 30 (VNI30),152800.0,Cotec Construction JSC,154800.0,CTD,183200.0
2018-11-21,1.66,153500.0,153500.0,VN 30 (VNI30),150000.0,Cotec Construction JSC,150900.0,CTD,2545900.0
2018-11-20,0.67,151000.0,151000.0,VN 30 (VNI30),149500.0,Cotec Construction JSC,150000.0,CTD,1509800.0
2018-11-19,1.42,150000.0,151000.0,VN 30 (VNI30),148000.0,Cotec Construction JSC,149000.0,CTD,659500.0
2018-11-16,1.65,147900.0,147900.0,VN 30 (VNI30),145400.0,Cotec Construction JSC,147000.0,CTD,676300.0
2018-11-15,-0.34,145500.0,147900.0,VN 30 (VNI30),145500.0,Cotec Construction JSC,146000.0,CTD,827600.0
2018-11-14,0.69,146000.0,148200.0,VN 30 (VNI30),145000.0,Cotec Construction JSC,145000.0,CTD,479600.0
2018-11-13,-1.83,145000.0,146900.0,VN 30 (VNI30),142500.0,Cotec Construction JSC,142500.0,CTD,595000.0
2018-11-12,-1.47,147700.0,148000.0,VN 30 (VNI30),146000.0,Cotec Construction JSC,148000.0,CTD,206900.0
2018-11-09,-1.38,149900.0,151900.0,VN 30 (VNI30),149700.0,Cotec Construction JSC,150100.0,CTD,402700.00000000006
2018-11-08,0.0,152000.0,152200.0,VN 30 (VNI30),151000.0,Cotec Construction JSC,152200.0,CTD,329200.0
2018-11-07,0.0,152000.0,152300.0,VN 30 (VNI30),150200.0,Cotec Construction JSC,151500.0,CTD,761600.0
2018-11-06,0.53,152000.0,152500.0,VN 30 (VNI30),150100.0,Cotec Construction JSC,151200.0,CTD,594900.0
2018-11-05,-0.2,151200.0,151800.0,VN 30 (VNI30),150000.0,Cotec Construction JSC,151500.0,CTD,559600.0
2018-11-02,3.06,151500.0,152400.0,VN 30 (VNI30),146100.0,Cotec Construction JSC,146100.0,CTD,924599.9999999999
